sample	chrom	start	end	maxP	lowP	highP	width	status
1	HanXRQChr01	0	1000000	0.18	0.09	0.28	0.19	P1
1	HanXRQChr01	1000000	2000000	0.17	0.13	0.21	0.08	P1
1	HanXRQChr01	2000000	3000000	0	0	0.01	0.01	P1
1	HanXRQChr01	3000000	4000000	0.85	0.8	0.9	0.1	P2
1	HanXRQChr01	4000000	5000000	0.5	0.4	0.6	0.2	admixed
1	HanXRQChr01	5000000	6000000	0.16	0.1	0.23	0.13	P1
1	HanXRQChr01	6000000	7000000	0.15	0.11	0.21	0.1	P1
1	HanXRQChr01	7000000	8000000	1	0.93	1	0.07	P2
1	HanXRQChr01	8000000	9000000	1	0.97	1	0.03	P2
1	HanXRQChr01	9000000	10000000	1	0.96	1	0.04	P2
1	HanXRQChr01	10000000	11000000	1	0.97	1	0.03	P2
1	HanXRQChr01	11000000	12000000	1	0.98	1	0.02	P2
1	HanXRQChr01	12000000	13000000	1	0.98	1	0.02	P2
1	HanXRQChr01	13000000	14000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	14000000	15000000	1	0.97	1	0.03	P2
1	HanXRQChr01	15000000	16000000	1	0.98	1	0.02	P2
1	HanXRQChr01	16000000	17000000	0.97	0.93	0.99	0.0599999999999999	P2
1	HanXRQChr01	17000000	18000000	1	0.98	1	0.02	P2
1	HanXRQChr01	18000000	19000000	1	0.98	1	0.02	P2
1	HanXRQChr01	19000000	20000000	0.99	0.95	1	0.05	P2
1	HanXRQChr01	20000000	21000000	0.92	0.81	0.99	0.18	P2
1	HanXRQChr01	21000000	22000000	0.98	0.93	1	0.07	P2
1	HanXRQChr01	22000000	23000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	23000000	24000000	1	0.95	1	0.05	P2
1	HanXRQChr01	24000000	25000000	0.99	0.93	1	0.07	P2
1	HanXRQChr01	26000000	27000000	0.8	0.22	1	0.78	NA
1	HanXRQChr01	27000000	28000000	1	0.97	1	0.03	P2
1	HanXRQChr01	29000000	30000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr01	30000000	31000000	0.98	0.9	1	0.1	P2
1	HanXRQChr01	31000000	32000000	1	0.94	1	0.0600000000000001	P2
1	HanXRQChr01	32000000	33000000	0.94	0.79	1	0.21	P2
1	HanXRQChr01	34000000	35000000	1	0.98	1	0.02	P2
1	HanXRQChr01	35000000	36000000	0.91	0.8	0.98	0.18	P2
1	HanXRQChr01	36000000	37000000	1	0.97	1	0.03	P2
1	HanXRQChr01	37000000	38000000	1	0.96	1	0.04	P2
1	HanXRQChr01	38000000	39000000	1	0.99	1	0.01	P2
1	HanXRQChr01	39000000	40000000	0.99	0.96	1	0.04	P2
1	HanXRQChr01	40000000	41000000	0.97	0.89	1	0.11	P2
1	HanXRQChr01	41000000	42000000	0.96	0.9	1	0.1	P2
1	HanXRQChr01	42000000	43000000	1	0.97	1	0.03	P2
1	HanXRQChr01	43000000	44000000	0.98	0.89	1	0.11	P2
1	HanXRQChr01	44000000	45000000	0.98	0.96	0.99	0.03	P2
1	HanXRQChr01	45000000	46000000	0.98	0.93	1	0.07	P2
1	HanXRQChr01	46000000	47000000	0.98	0.93	1	0.07	P2
1	HanXRQChr01	47000000	48000000	1	0.98	1	0.02	P2
1	HanXRQChr01	48000000	49000000	0.97	0.91	1	0.09	P2
1	HanXRQChr01	49000000	50000000	1	0.88	1	0.12	P2
1	HanXRQChr01	50000000	51000000	1	0.93	1	0.07	P2
1	HanXRQChr01	51000000	52000000	0.99	0.95	1	0.05	P2
1	HanXRQChr01	52000000	53000000	0.71	0.6	0.82	0.22	P2
1	HanXRQChr01	53000000	54000000	0.93	0.85	0.99	0.14	P2
1	HanXRQChr01	54000000	55000000	1	0.98	1	0.02	P2
1	HanXRQChr01	55000000	56000000	0.97	0.92	1	0.08	P2
1	HanXRQChr01	56000000	57000000	0.77	0.72	0.82	0.1	P2
1	HanXRQChr01	57000000	58000000	0.99	0.95	1	0.05	P2
1	HanXRQChr01	58000000	59000000	0.78	0.7	0.85	0.15	P2
